time,cpu,ram,disk,net_sent,net_recv,failure,cpu_trend,ram_trend,net_load
1768473155.4000654,7.8,84.5,30.3,41687713,201052243,1,4.84,84.34,242739956
1768473156.4120193,10.0,84.5,30.3,41698160,201055685,1,4.84,84.34,242753845
1768473157.421312,3.7,84.3,30.3,41699333,201058195,1,4.84,84.34,242757528
1768473158.4313908,1.5,84.2,30.3,41701982,201063130,1,4.84,84.34,242765112
1768473159.442483,1.2,84.2,30.3,41702254,201064000,1,4.84,84.34,242766254
1768473160.4539502,1.7,84.2,30.3,41702356,201064172,1,3.62,84.28,242766528
1768473161.4610846,2.8,84.2,30.3,41702828,201064344,1,2.18,84.22,242767172
1768473162.4679632,10.9,84.3,30.3,41702870,201064630,1,3.62,84.22,242767500
1768473163.475141,10.5,84.6,30.3,41708111,201070658,1,5.42,84.3,242778769
1768473164.4882245,3.7,84.7,30.3,41709161,201075456,1,5.92,84.4,242784617
1768473165.4956405,6.7,84.8,30.3,41761324,201163605,1,6.92,84.52,242924929
1768473166.509148,4.1,84.6,30.3,41786425,201190275,1,7.18,84.6,242976700
1768473167.5210855,13.0,85.4,30.3,41800911,201248826,1,7.6,84.82000000000001,243049737
1768473168.532231,8.8,86.4,30.3,41850136,201452849,1,7.260000000000001,85.17999999999999,243302985
1768473169.5406797,14.2,87.2,30.3,41927319,201913192,1,9.36,85.68,243840511
1768473170.5514195,6.3,87.2,30.3,41950984,201930270,1,9.28,86.16,243881254
1768473171.5591896,9.6,88.7,30.3,42013460,204026264,1,10.38,86.98,246039724
1768473172.5661726,20.3,89.2,30.3,42097486,208857325,1,11.84,87.74000000000001,250954811
1768473173.572323,15.2,89.8,30.3,42108536,208871139,1,13.12,88.42,250979675
1768473174.5816274,11.2,89.0,30.3,42200884,210692261,1,12.52,88.78,252893145
1768473175.589368,8.1,86.5,30.3,42256114,212045079,1,12.879999999999999,88.64,254301193
1768473176.6033487,15.6,87.3,30.3,42316853,214531697,1,14.080000000000002,88.36,256848550
1768473177.614484,24.3,88.7,30.3,42422625,219055378,1,14.88,88.26,261478003
1768473178.6358433,11.7,89.2,30.3,42523218,220955259,1,14.179999999999998,88.14000000000001,263478477
1768473179.6445477,9.2,89.2,30.3,42681213,228733764,1,13.780000000000001,88.18,271414977
1768473180.654802,12.5,90.3,30.3,42746698,230425434,1,14.66,88.94000000000001,273172132
1768473181.6647906,14.3,90.3,30.3,42804253,230918939,1,14.4,89.53999999999999,273723192
1768473182.6749558,10.0,90.8,30.3,42838498,231108217,1,11.540000000000001,89.96000000000001,273946715
1768473183.682022,15.2,91.0,30.3,42896235,233276471,1,12.239999999999998,90.32000000000001,276172706
1768473184.692277,21.2,90.3,30.3,42966084,236757243,1,14.64,90.53999999999999,279723327
1768473185.699198,20.5,90.5,30.3,42983726,236821568,1,16.240000000000002,90.58,279805294
1768473186.7096603,18.2,91.6,30.3,43002819,236888771,1,17.02,90.84,279891590
1768473187.7193778,13.0,92.0,30.3,43037011,237386314,1,17.619999999999997,91.08,280423325
1768473188.7257493,22.5,92.2,30.3,43071301,237479993,1,19.080000000000002,91.32000000000001,280551294
1768473189.735993,10.6,92.5,30.3,43100631,238193314,1,16.96,91.75999999999999,281293945
1768473190.742121,11.3,93.1,30.3,43111530,238303704,1,15.12,92.28,281415234
1768473191.7536502,15.1,92.9,30.3,43165747,238823063,1,14.5,92.54,281988810
1768473192.76275,16.1,92.9,30.3,43213042,239523151,1,15.12,92.72,282736193
1768473193.7763648,21.2,93.6,30.3,43330045,243114171,1,14.86,93.0,286444216
1768473194.7973073,13.2,94.5,30.3,43377465,244653866,1,15.38,93.4,288031331
1768473195.8090866,25.5,93.6,30.3,43414353,244668965,1,18.22,93.5,288083318
1768473196.81873,4.5,93.4,30.3,43434739,244674849,1,16.1,93.6,288109588
1768473197.8294144,7.9,93.5,30.3,43440047,244685287,1,14.459999999999999,93.72,288125334
1768473198.8388617,10.7,93.8,30.3,43478938,244739628,1,12.36,93.75999999999999,288218566
1768473199.8495052,6.8,93.8,30.3,43499008,244760797,1,11.08,93.61999999999999,288259805
1768473200.85548,5.6,93.3,30.3,43503444,244783742,1,7.1,93.56,288287186
1768473201.864653,10.4,93.5,30.3,43597949,245287271,1,8.28,93.58,288885220
1768473202.873503,13.9,93.1,30.3,43618906,245664723,1,9.48,93.49999999999999,289283629
1768473203.881219,11.1,92.8,30.3,43644972,245765366,1,9.559999999999999,93.3,289410338
1768473204.8888233,8.2,92.3,30.3,43662067,246062723,1,9.84,93.0,289724790
1768473205.8955815,5.0,92.3,30.3,43686626,246081944,1,9.719999999999999,92.8,289768570
1768473206.9056594,6.8,92.5,30.3,43720874,246144399,1,9.0,92.6,289865273
1768473207.9155293,3.5,92.4,30.3,43731588,246186336,1,6.92,92.46000000000001,289917924
1768473208.922884,6.8,92.8,30.3,43747820,246817577,1,6.06,92.46000000000001,290565397
1768473209.93214,10.5,92.6,30.3,43762579,246916411,1,6.5200000000000005,92.52,290678990
1768473210.93908,5.7,92.5,30.3,43777027,247116011,1,6.659999999999999,92.55999999999999,290893038
1768473211.9478014,7.3,92.4,30.3,43804369,247138529,1,6.76,92.53999999999999,290942898
1768473212.9564269,8.9,92.5,30.3,43812109,247152168,1,7.840000000000001,92.56,290964277
1768473213.9624054,5.8,92.3,30.3,43813449,247153548,1,7.640000000000001,92.46,290966997
1768473214.9693563,11.5,91.5,30.3,43834030,247202064,1,7.840000000000001,92.24000000000001,291036094
1768473215.9789505,9.3,90.5,30.3,43845707,247202348,1,8.559999999999999,91.84,291048055
1768473216.989781,7.1,88.2,30.3,43858041,247204314,0,8.52,91.0,291062355
1768473217.997655,3.3,88.0,30.3,43858512,247207834,0,7.400000000000001,90.1,291066346
1768473219.010185,1.8,88.1,30.3,43859325,247208040,0,6.6,89.26,291067365
1768473220.020555,6.7,87.7,30.3,43859566,247209183,0,5.64,88.5,291068749
1768473221.0318,4.4,87.5,30.3,43859939,247209311,0,4.66,87.9,291069250
1768473222.0394034,8.6,87.6,30.3,43865084,247209723,0,4.96,87.78,291074807
