time,cpu,ram,disk,net_sent,net_recv,failure
1768473155.4000654,7.8,84.5,30.3,41687713,201052243,1
1768473156.4120193,10.0,84.5,30.3,41698160,201055685,1
1768473157.421312,3.7,84.3,30.3,41699333,201058195,1
1768473158.4313908,1.5,84.2,30.3,41701982,201063130,1
1768473159.442483,1.2,84.2,30.3,41702254,201064000,1
1768473160.4539502,1.7,84.2,30.3,41702356,201064172,1
1768473161.4610846,2.8,84.2,30.3,41702828,201064344,1
1768473162.4679632,10.9,84.3,30.3,41702870,201064630,1
1768473163.475141,10.5,84.6,30.3,41708111,201070658,1
1768473164.4882245,3.7,84.7,30.3,41709161,201075456,1
1768473165.4956405,6.7,84.8,30.3,41761324,201163605,1
1768473166.509148,4.1,84.6,30.3,41786425,201190275,1
1768473167.5210855,13.0,85.4,30.3,41800911,201248826,1
1768473168.532231,8.8,86.4,30.3,41850136,201452849,1
1768473169.5406797,14.2,87.2,30.3,41927319,201913192,1
1768473170.5514195,6.3,87.2,30.3,41950984,201930270,1
1768473171.5591896,9.6,88.7,30.3,42013460,204026264,1
1768473172.5661726,20.3,89.2,30.3,42097486,208857325,1
1768473173.572323,15.2,89.8,30.3,42108536,208871139,1
1768473174.5816274,11.2,89.0,30.3,42200884,210692261,1
1768473175.589368,8.1,86.5,30.3,42256114,212045079,1
1768473176.6033487,15.6,87.3,30.3,42316853,214531697,1
1768473177.614484,24.3,88.7,30.3,42422625,219055378,1
1768473178.6358433,11.7,89.2,30.3,42523218,220955259,1
1768473179.6445477,9.2,89.2,30.3,42681213,228733764,1
1768473180.654802,12.5,90.3,30.3,42746698,230425434,1
1768473181.6647906,14.3,90.3,30.3,42804253,230918939,1
1768473182.6749558,10.0,90.8,30.3,42838498,231108217,1
1768473183.682022,15.2,91.0,30.3,42896235,233276471,1
1768473184.692277,21.2,90.3,30.3,42966084,236757243,1
1768473185.699198,20.5,90.5,30.3,42983726,236821568,1
1768473186.7096603,18.2,91.6,30.3,43002819,236888771,1
1768473187.7193778,13.0,92.0,30.3,43037011,237386314,1
1768473188.7257493,22.5,92.2,30.3,43071301,237479993,1
1768473189.735993,10.6,92.5,30.3,43100631,238193314,1
1768473190.742121,11.3,93.1,30.3,43111530,238303704,1
1768473191.7536502,15.1,92.9,30.3,43165747,238823063,1
1768473192.76275,16.1,92.9,30.3,43213042,239523151,1
1768473193.7763648,21.2,93.6,30.3,43330045,243114171,1
1768473194.7973073,13.2,94.5,30.3,43377465,244653866,1
1768473195.8090866,25.5,93.6,30.3,43414353,244668965,1
1768473196.81873,4.5,93.4,30.3,43434739,244674849,1
1768473197.8294144,7.9,93.5,30.3,43440047,244685287,1
1768473198.8388617,10.7,93.8,30.3,43478938,244739628,1
1768473199.8495052,6.8,93.8,30.3,43499008,244760797,1
1768473200.85548,5.6,93.3,30.3,43503444,244783742,1
1768473201.864653,10.4,93.5,30.3,43597949,245287271,1
1768473202.873503,13.9,93.1,30.3,43618906,245664723,1
1768473203.881219,11.1,92.8,30.3,43644972,245765366,1
1768473204.8888233,8.2,92.3,30.3,43662067,246062723,1
1768473205.8955815,5.0,92.3,30.3,43686626,246081944,1
1768473206.9056594,6.8,92.5,30.3,43720874,246144399,1
1768473207.9155293,3.5,92.4,30.3,43731588,246186336,1
1768473208.922884,6.8,92.8,30.3,43747820,246817577,1
1768473209.93214,10.5,92.6,30.3,43762579,246916411,1
1768473210.93908,5.7,92.5,30.3,43777027,247116011,1
1768473211.9478014,7.3,92.4,30.3,43804369,247138529,1
1768473212.9564269,8.9,92.5,30.3,43812109,247152168,1
1768473213.9624054,5.8,92.3,30.3,43813449,247153548,1
1768473214.9693563,11.5,91.5,30.3,43834030,247202064,1
1768473215.9789505,9.3,90.5,30.3,43845707,247202348,1
1768473216.989781,7.1,88.2,30.3,43858041,247204314,0
1768473217.997655,3.3,88.0,30.3,43858512,247207834,0
1768473219.010185,1.8,88.1,30.3,43859325,247208040,0
1768473220.020555,6.7,87.7,30.3,43859566,247209183,0
1768473221.0318,4.4,87.5,30.3,43859939,247209311,0
1768473222.0394034,8.6,87.6,30.3,43865084,247209723,0
