time,cpu,ram,disk,net_sent,net_recv,stress,failure
1768472165.0775664,11.1,69.9,30.3,33284016,168704328,2051.3534400000003,0
1768472166.0856812,2.2,69.8,30.3,33284102,168704414,2047.76516,0
1768472167.0956106,3.6,69.9,30.3,33292189,168706481,2048.4566999999997,0
1768472168.1061115,1.2,69.8,30.3,33294873,168712711,2047.5558400000002,0
1768472169.1135604,2.6,69.8,30.3,33294873,168712711,2048.1158400000004,1
1768472170.1199837,6.5,69.5,30.3,33295588,168714229,2049.6081700000004,1
1768472171.1288009,4.2,69.5,30.3,33312013,168721998,2048.9301100000002,1
1768472172.1351483,2.6,69.4,30.3,33323790,168734273,2048.50063,1
1768472173.1441262,1.3,69.3,30.3,33338358,168736073,2048.11431,1
1768472174.1580966,4.9,69.3,30.3,33338478,168737959,2049.5743700000003,1
1768472175.1639402,1.6,69.2,30.3,33338564,168738045,2048.22609,1
1768472176.174194,1.6,69.2,30.3,33338650,168738131,2048.22781,1
1768472177.1842427,1.0,69.2,30.3,33338650,168738131,2047.98781,1
1768472178.1973348,1.7,69.2,30.3,33342047,168738405,2048.3045200000006,1
1768472179.2062333,6.4,69.2,30.3,33342445,168738785,2050.1923,1
1768472180.2140992,5.9,69.2,30.3,33342633,168739043,2049.99676,1
1768472181.221323,3.4,68.8,30.3,33344831,168740374,2048.91205,1
1768472182.228986,2.8,68.9,30.3,33346569,168745488,2048.77057,1
1768472183.235931,4.8,68.9,30.3,33364619,168746260,2049.7587900000003,1
1768472184.2438517,16.2,69.4,30.3,33390779,168764123,2054.9090200000005,1
1768472185.2520409,10.7,69.5,30.3,33401789,168779710,2053.0049900000004,1
1768472186.277539,6.0,69.9,30.3,33420292,168795338,2051.5863,1
1768472187.286518,15.5,71.7,30.3,33435622,168819940,2056.3256200000005,1
1768472188.2942083,14.4,72.7,30.3,33465023,168881641,2057.09664,1
1768472189.3025453,17.7,73.1,30.3,33545478,169035532,2060.8801,1
1768472190.3106391,14.0,72.8,30.3,33599889,169171263,2061.2115200000003,1
1768472191.3242486,24.8,74.4,30.3,33641880,169466957,2069.3883700000006,1
1768472192.33997,27.9,75.5,30.3,33678738,169549068,2072.14806,1
1768472193.352906,23.1,76.1,30.3,33764652,170523093,2081.00745,1
1768472194.3665946,23.8,77.4,30.3,33827719,170637838,2083.4555700000005,1
1768472195.377708,17.8,77.2,30.3,33874067,170801024,2083.0909100000003,1
1768472196.3911057,12.5,77.3,30.3,33887924,170862792,2081.75716,1
1768472197.3977606,18.0,77.6,30.3,33905250,171002717,2085.61967,1
1768472198.4041822,13.8,77.7,30.3,33920514,171105578,2085.15092,1
1768472199.422783,20.4,78.6,30.3,33961006,171279421,2090.2042700000006,1
1768472200.4310396,30.9,78.9,30.3,34008038,172202294,2104.1933200000003,1
1768472201.4396498,22.5,79.4,30.3,34037797,173528355,2114.54152,1
1768472202.4486847,27.4,80.2,30.3,34059345,173633724,2118.01069,1
1768472203.4559443,15.4,80.1,30.3,34091711,173679835,2113.9654600000003,1
1768472204.4639225,12.5,80.8,30.3,34109881,173858009,2114.9789,1
1768472205.4792762,17.4,81.3,30.3,34130176,173938816,2118.09992,1
1768472206.4851706,8.6,81.4,30.3,34141516,174284428,2118.1794400000003,1
1768472207.500429,22.1,82.0,30.3,34163573,174870863,2129.84436,1
1768472208.508047,8.5,82.4,30.3,34179649,174874334,2124.71983,1
1768472209.5163078,8.5,82.8,30.3,34190989,174941153,2125.6214200000004,1
1768472210.5247662,12.7,82.7,30.3,34225530,175088826,2129.09356,1
1768472211.5332248,11.3,83.3,30.3,34269485,175917163,2137.4364800000003,1
1768472212.5410616,11.3,83.5,30.3,34282318,175986604,2138.3192200000003,1
1768472213.5482874,6.0,83.5,30.3,34301217,176170503,2138.2272000000003,1
1768472214.5548935,13.4,84.4,30.3,34316375,176228969,2142.19344,1
1768472215.5619876,10.9,84.5,30.3,34354867,176661346,2145.93213,1
1768472216.568355,13.9,85.4,30.3,34380369,177736838,2158.41207,1
1768472217.5762134,9.7,85.5,30.3,34423295,178709035,2166.9133,1
1768472218.5835507,8.2,85.4,30.3,34440134,179021124,2169.57258,1
1768472219.598697,15.4,85.4,30.3,34502861,179566647,2178.53508,1
1768472220.6103346,21.4,85.6,30.3,34557247,180082503,2186.6975,1
1768472221.6206374,22.0,85.3,30.3,34563035,180233412,2188.41447,1
1768472222.6322403,10.4,85.7,30.3,34588408,180256308,2184.37716,1
1768472223.639959,10.2,85.7,30.3,34638265,180461312,2186.8457700000004,1
1768472224.648016,5.8,85.5,30.3,34645450,181114031,2191.6248100000003,1
